Date,"Alcoholic beverages, tobacco products and recreational cannabis",All-items,All-items excluding energy,All-items excluding food and energy,Clothing and footwear,Energy,Food,Gasoline,Goods,Health and personal care,"Household operations, furnishings and equipment","Recreation, education and reading",Services,Shelter,Transportation
2005-01-01,119.1,107.0,105.4,105.3,97.6,126.3,106.4,132.6,105.8,104.6,101.7,100.8,108.2,109.2,112.0
2006-01-01,121.7,109.1,107.2,106.9,95.8,132.8,108.9,139.8,107.1,105.9,102.2,100.6,111.1,113.1,115.2
2007-01-01,125.5,111.5,109.5,109.0,95.7,135.9,111.8,146.1,108.0,107.3,103.2,101.8,114.8,116.9,117.1
2008-01-01,127.5,114.1,111.3,110.3,93.8,149.3,115.7,164.7,109.4,108.8,104.6,102.2,118.7,122.0,119.5
2009-01-01,130.7,114.4,113.3,111.5,93.4,129.2,121.4,135.8,107.6,112.1,107.3,103.1,121.2,121.6,113.1
2010-01-01,133.1,116.5,114.8,112.9,91.6,137.8,123.1,148.2,109.2,115.1,108.8,104.0,123.7,123.3,118.0
2011-01-01,135.6,119.9,117.0,114.7,91.9,154.7,127.7,177.8,112.9,117.1,110.9,105.3,126.7,125.6,125.6
2012-01-01,137.6,121.7,118.8,116.2,92.0,157.3,130.8,182.3,114.0,118.7,113.0,105.9,129.3,127.1,128.1
2013-01-01,140.4,122.8,119.9,117.2,92.1,159.6,132.4,183.4,114.6,118.3,114.4,106.2,131.0,128.7,129.0
2014-01-01,146.6,125.2,122.0,119.0,93.2,165.3,135.5,183.8,116.5,119.0,116.6,107.4,133.7,132.2,130.4
2015-01-01,152.0,126.6,124.6,121.2,94.6,149.5,140.5,153.4,116.8,120.5,119.7,109.4,136.4,133.7,126.5
2016-01-01,156.8,128.4,126.9,123.5,94.4,145.0,142.6,144.2,117.9,122.2,121.7,111.3,138.9,135.8,127.9
2017-01-01,161.1,130.4,128.5,125.5,93.7,152.7,142.7,161.2,118.9,124.3,121.9,114.0,142.0,138.1,132.9
2018-01-01,167.9,133.4,131.0,127.9,94.5,162.9,145.3,181.5,121.1,125.9,123.2,115.3,145.8,140.9,139.1
2019-01-01,171.1,136.0,134.0,130.5,96.1,159.3,150.2,170.5,122.7,127.4,123.6,116.8,149.2,144.5,141.5
2020-01-01,171.9,137.0,135.8,132.0,94.4,147.2,153.7,146.7,122.5,129.2,123.8,115.7,151.3,147.0,141.2
2021-01-01,175.0,141.6,139.0,135.1,94.1,175.0,157.5,192.4,128.3,132.6,125.2,117.9,154.8,152.7,151.4
2022-01-01,181.3,151.2,146.9,141.8,95.4,214.4,171.5,247.2,139.4,138.0,130.9,123.5,162.6,163.3,167.5
2023-01-01,190.5,157.1,153.5,147.3,96.4,205.5,184.3,228.4,143.8,145.8,132.0,126.4,170.1,172.5,169.0
2024-01-01,196.2,160.9,157.5,151.1,93.3,204.3,189.3,227.9,144.3,150.4,130.7,127.0,177.1,182.3,171.7
